,child,parent
268,916,944
269,CCNT2,939
270,901,925
271,ANKFN1,890
272,ATXN1,956
273,ZNF740,963
274,SCN9A,859
275,920,942
276,891,963
277,MBD5,940
278,F8A3,900
279,ZMYND8,963
280,MYCBP2,949
281,925,936
282,RET,913
283,954,957
284,EHMT2,846
285,PDS5B,948
286,INTS6,956
287,UNC5D,902
288,873,921
289,860,961
290,KANSL3,908
291,VPS13D,936
292,MYO1G,857
293,PRDM7,911
294,DENND6A,963
295,ANKIB1,963
296,USP3,963
297,BRD7,907
298,ZDHHC23,858
299,ENAH,865
300,GUSBP1,869
301,USP47,956
302,GABRA4,864
303,FAM193A,901
304,SCAPER,889
305,CNTN2,864
306,TRIM33,941
307,ECSCR,857
308,HIST2H3C,873
309,ANK3,885
310,AFF2,857
311,TIGD3,848
312,RBBP5,921
313,TMEM235,963
314,PAPOLG,963
315,KDM8,856
316,889,956
317,SOS1,892
318,CDY2A,870
319,KDM4B,872
320,RNF222,963
321,USP24,912
322,876,938
323,KIAA1549,893
324,JMJD7,856
325,NCOA1,889
326,SEMA3E,890
327,SETDB1,911
328,KANSL1,962
329,RIF1,962
330,NREP,896
331,PTK7,888
332,LCOR,962
333,VEPH1,963
334,SCUBE3,850
335,CYS1,845
336,RABGAP1L,889
337,IGSF22,874
338,LAMC1,888
339,APH1A,851
340,SETBP1,963
341,ARL14EPL,904
342,RREB1,934
343,MACF1,948
344,ASAP2,891
345,MTF2,882
346,BMI1,962
347,NADK2,963
348,FAM172A,889
349,JAG1,851
350,ZMIZ1,963
351,BAIAP2L1,847
352,ZDHHC20,858
353,ZCCHC11,912
354,JADE1,866
355,SCAF4,901
356,ERBB4,863
357,NSD3,911
358,ANKRD36,963
359,DOCK9,878
360,922,926
361,924,958
362,SCN3A,859
363,DGUOK,855
364,ANKHD1,962
365,857,867
366,ERC1,963
367,TRIM52,962
368,SCN7A,844
369,CNTN1,924
370,PHF21A,949
371,HIST4H4,873
372,HDAC7,880
373,BRD1,882
374,CCDC101,945
375,MAGI2,863
376,HIST1H3A,873
377,DYX1C1,884
378,RANBP9,920
379,SPTBN1,897
380,STRIP1,903
381,MYO1B,888
382,BEND2,884
383,ZBTB34,963
384,ZNF148,868
385,C9orf156,963
386,SON,912
387,RNF44,901
388,SLC6A1,854
389,PTPRT,924
390,EIF4G3,963
391,962,963
392,DCC,874
393,CHD7,907
394,NLN,963
395,950,954
396,SCN2A,844
397,C14orf178,963
398,MLL2,908
399,NKPD1,908
400,956,959
401,MMP16,863
402,HERC2,914
403,TRIM24,963
404,NSD1,846
405,TSC1,901
406,JADE2,866
407,CREBBP,853
408,BRAF,920
409,RAF1,920
410,AKAP6,897
411,WDR73,900
412,NOTCH2,913
413,DICER1,939
414,ING5,866
415,PYGL,857
416,946,953
417,TMCC1,962
418,AIRE,866
419,TGIF2,900
420,EID2B,848
421,INO80D,963
422,SKOR2,963
423,MAGI3,867
424,HNF1B,963
425,HIVEP1,948
426,DOPEY1,889
427,897,946
428,NHLRC4,848
429,GOLGA3,936
430,TP53,886
431,USP33,933
432,855,946
433,FLRT3,850
434,NKTR,849
435,SIN3B,886
436,METTL25,963
437,WSCD1,963
438,MLC1,890
439,TUG1,904
440,GOLGB1,962
441,PROSER1,908
442,TIGD4,848
443,WAC,882
444,ZEB2,963
445,PRKCH,942
446,APBB2,913
447,MEF2C,935
448,883,894
449,MT3,899
